Codigo	Descripcion	Precio Costo	Precio Venta	Precio Mayoreo	Inventario	Inv. Minimo	Departamento
 FOCO 110		$0.00	$1900.00	$0.00	20.00	0.000	- Sin Departamento -
1728	ABRAZADERA 110 	$2150.00	$3800.00	$0.00	4.00	0.000	- Sin Departamento -
1420	ABRAZADERA MANGUERA DE NAFTA 	$74.00	$200.00	$0.00	100.00	0.000	- Sin Departamento -
1226	ACEITE 2T 100CC COMPETICION RECCINO 	$1520.00	$4320.00	$0.00	1.00	2	- Sin Departamento -
1772	ACEITE 2T CASTROL 1L  	$6630.00	$11000.00	$0.00	2.00	0.000	- Sin Departamento -
54	ACEITE 2T X 100CC 2TIEMPOS MACH/ WANDER	$1190.00	$2000.00	$0.00	27.00	0.000	- Sin Departamento -
1343	ACEITE CASTROL BLANCO 	$5850.00	$9500.00	$0.00	7.00	0.000	- Sin Departamento -
1272	ACEITE CASTROL GRIS	$7000.00	$11000.00	$0.00	21.00	0.000	- Sin Departamento -
1534	ACEITE CASTROL SEMI-SINTETICO POWER1	$9980.00	$14000.00	$0.00	2.00	0.000	- Sin Departamento -
1603	ACEITE DE CADENA WALKER 	$2620.00	$4200.00	$0.00	0.00	0.000	- Sin Departamento -
51	ACEITE DE CADENA X 240 CM AEROTEK 	$800.00	$2800.00	$0.00	2.00	5	- Sin Departamento -
1686	ACEITE DE SUSPENSION 10W X 250CC MACH	$2470.00	$3900.00	$0.00	8.00	0.000	- Sin Departamento -
1507	ACEITE DE SUSPENSION 15W FERCOL	$2650.00	$4500.00	$0.00	1.00	0.000	- Sin Departamento -
52	ACEITE DE SUSPENSION FORCES X 200CM WANDER 	$1980.00	$3200.00	$0.00	0.00	0.000	- Sin Departamento -
1725	ACEITE HONDA HGO 10W30	$9500.00	$14500.00	$0.00	14.00	0.000	- Sin Departamento -
1794	ACEITE IPONE 20W50 SEMI SINTETICO	$11900.00	$17000.00	$0.00	12.00	0.000	- Sin Departamento -
1770	ACEITE MOTUL 3000 20W50 MINERAL 	$8750.00	$14000.00	$0.00	10.00	0.000	- Sin Departamento -
1535	ACEITE MOTUL 5000 20W50 SEMISINTETICO	$9000.00	$14500.00	$0.00	21.00	0.000	- Sin Departamento -
1450	ACEITE MOTUL 5100 SEMISINTETICO 	$9920.00	$16000.00	$0.00	3.00	0.000	- Sin Departamento -
1633	ACEITE MOTUL 7100 	$21880.00	$31000.00	$0.00	7.00	0.000	- Sin Departamento -
1282	ACEITE RIDERS 4T 	$3080.00	$4000.00	$0.00	114.00	0.000	- Sin Departamento -
53	ACEITE ROD YPF 20 W 50	$4500.00	$6500.00	$0.00	232.00	0.000	- Sin Departamento -
551	ACEITE SHELL ADVACE AX3 ROJO 	$5700.00	$8500.00	$0.00	0.00	0.000	- Sin Departamento -
550	ACEITE SHELL ADVANCE 20W50 AX5 AMARILLO	$6600.00	$9800.00	$0.00	0.00	1	- Sin Departamento -
